Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample614,India,88.603,22.958,46,-5.1,-31.4
Sample615,India,88.604,22.96,46,-5,-31.1
Sample616,India,88.583,22.992,46,-4.8,-30.2
Sample617,India,88.586,22.987,46,-4.5,-27.6
Sample618,India,88.55,22.944,46,-2.2,-17.2
Sample619,India,88.541,22.991,46,-5.7,-37.6
Sample620,India,88.549,22.991,46,-5.7,-37.7
Sample621,India,88.547,22.991,46,-5.7,-36.9
Sample622,India,88.546,22.991,46,-5.6,-36.7
Sample623,India,88.558,23.016,46,-5,-32.5
Sample624,India,88.548,22.927,46,-4.8,-30.3
Sample625,India,88.608,22.954,46,-3.9,-27.3
Sample626,India,88.566,22.933,46,-3.7,-24.8
Sample627,India,88.566,22.933,46,-3.4,-23.2
Sample628,India,88.559,22.925,46,-4.26,-29.12
Sample629,Bangladesh,89.135,23.409,46,-2.9,-19
Sample630,Bangladesh,89.05,22.9,46,-3,-24
Sample631,Bangladesh,90.425,23.983,46,-4.6,-29
Sample632,Bangladesh,89.7678,23.5436,46.3,-3.7,-27
Sample633,Bangladesh,88.3656,24.6156,46.3,-3.8,-27
Sample634,India,NA,NA,46.34,-5.79,-41.12
Sample635,India,88.568,22.784,46.7,-4.13,-26.93
Sample636,Bangladesh,89.639,23.748,48,-3.5,-28
Sample637,India,88.5725,23.032389,48.768,-3.834256,-24.67552
Sample638,India,88.573306,23.032472,48.768,-3.83753024,-23.90169824
Sample639,Bangladesh,88.979,22.965,48.8,-3.5,-24
Sample640,Bangladesh,89.8942,23.5783,48.8,-4.2,-27
Sample641,India,88.49256333,22.741295,49,-3.37,-24.7
Sample642,India,88.491925,22.740765,49,-3.36,-26.1
Sample643,India,88.603,22.958,49,-5,-31.5
Sample644,India,88.603,22.957,49,-4.8,-30
Sample645,India,88.589,22.993,49,-4.5,-29.4
Sample646,India,88.596,22.991,49,-4.2,-27.1
Sample647,India,88.595,22.991,49,-4.2,-27.8
Sample648,India,88.595,22.99,49,-4.2,-28.1
Sample649,India,88.596,22.991,49,-4.1,-27.3
Sample650,India,88.595,22.991,49,-3.9,-27
Sample651,India,88.602,22.953,49,-3.6,-25.8
Sample652,India,88.548,22.973,49,-3.8,-25.2
Sample653,India,88.545,22.898,49,-4.28,-29.3
Sample654,India,NA,NA,49.34,-4.02,-31.75
Sample655,Bangladesh,89.8197,23.5092,49.7,-4.2,-34
Sample656,Bangladesh,89.8611,23.5842,49.7,-4.9,-38
Sample657,Bangladesh,89.8531,23.5311,50.3,-5.3,-38
Sample658,India,88.571,22.779,51.3,-4.62,-30.59
Sample659,India,88.4485,24.1578,51.8,-5.53,-36.6
Sample660,India,88.1009,24.1867,51.8,-3.56,-24.8
Sample661,India,88.489675,22.740535,52,-3.99,-28.2
Sample662,India,88.584,22.991,52,-4.7,-28.9
Sample663,India,88.595,22.99,52,-4.3,-28.6
Sample664,India,88.603,22.957,52,-4.5,-27.5
Sample665,India,88.549,22.972,52,-4.2,-29
Sample666,India,88.61,22.952,52,-4.1,-26.1
Sample667,Bangladesh,90.277,24.027,52,-5,-31
Sample668,Bangladesh,88.375,24.618,52.4,-4.2,-30
Sample669,India,NA,NA,52.44,-5.96,-42.87
Sample670,India,88.566,22.731,52.8,-5.11,-33.7
Sample671,India,88.621,22.898,53,-4.3,-30.1
Sample672,Bangladesh,89.8397,23.5158,53.3,-4.7,-35
Sample673,India,88.57476667,23.03118333,54.2544,-2.939492,-20.20226825
Sample674,Bangladesh,89.8014,23.5792,54.3,-3.7,-28
Sample675,Bangladesh,89.8381,23.5397,54.3,-6,-41
Sample676,India,88.587628,23.019983,54.864,-3.52370922,-27.46878765
Sample677,Bangladesh,90.55685,23.82058,54.864,-5.4,-33.83
Sample678,India,88.597,22.956,55,-5.1,-33.8
Sample679,India,88.594,22.988,55,-4.4,-29.2
Sample680,India,88.595,22.989,55,-4.4,-29.9
Sample681,India,88.589,22.995,55,-3.8,-26.2
Sample682,India,88.595,22.988,55,-4.4,-28.9
Sample683,India,88.548,22.972,55,-3.8,-25.2
Sample684,India,88.57,22.938,55,-4.3,-29.1
Sample685,India,88.581,22.924,55,-4.2,-27.9
Sample686,Bangladesh,90.378,23.782,55,-4.89,-31.2
Sample687,Bangladesh,90.63,23.846,55,-4.9,-32
Sample688,Bangladesh,88.508,25.98,55,-4.8,-34
Sample689,Bangladesh,89.544,24.386,55,-3.8,-21
Sample690,Bangladesh,89.422,24.034,55,-4.7,-28
Sample691,Bangladesh,88.853,23.55,55,-3.7,-29
Sample692,Bangladesh,89.283,23.168,55,-5.2,-32
Sample693,India,88.595,22.99,56,-4,-28.4
Sample694,India,88.34203,22.4789,57,-6.3,-42.8
Sample695,Bangladesh,89.8411,23.5703,57.3,-4.3,-25
Sample696,India,88.4635,24.1725,57.9,-4.51,-29.9
Sample697,India,88.592,22.953,58,-5,-33.4
Sample698,India,88.581,22.925,58,-4.3,-27.1
Sample699,India,88.583,23.022,58,-3.6,-24.2
Sample700,India,88.581,22.925,58,-3.4,-23.5
Sample701,Bangladesh,89.802,22.65,58,-3.7,-27
Sample702,Bangladesh,91.181,23.619,58,-2.6,-17
Sample703,Bangladesh,90.392,24.407,58,-5.3,-33
Sample704,India,88.34064,22.47577,58,-5.6,-38.2
Sample705,India,88.818758,22.85071,59,-5.252,-34.216
Sample706,Bangladesh,90.239,24.609,59,-5.7,-37
Sample707,Bangladesh,89.262,25.187,59,-4.5,-30
Sample708,India,NA,NA,59,-6.67,-43.93
Sample709,Bangladesh,90.946,23.749,60,-4,-30
Sample710,Bangladesh,90.114,23.793,60,-4.2,-34
Sample711,Bangladesh,89.471,22.985,60,-3.8,-23
Sample712,India,88.3032,24.2316,60.4,-5.43,-35.1
Sample713,India,88.58311667,23.02175,60.96,-2.72863399,-18.36151495
Sample714,India,88.58765,23.02048333,60.96,-3.23060061,-20.703009
Sample715,India,88.605,22.959,61,-4.9,-30.9
Sample716,India,88.603,22.959,61,-4.8,-30.8
Sample717,India,88.583,22.991,61,-4.7,-30.6
Sample718,India,88.583,22.991,61,-4.7,-29.5
Sample719,India,88.583,22.991,61,-4.4,-27.1
Sample720,India,88.581,23.012,61,-3.67,-25.39
Sample721,India,88.565,22.929,61,-3.89,-25.61
Sample722,India,88.568,22.912,61,-3.1,-24.3
Sample723,Bangladesh,88.979,22.965,61,-3.5,-24
Sample724,Bangladesh,89.933,22.357,61,-6.1,-43
Sample725,Bangladesh,88.993,24.434,61,-4.4,-26
Sample726,Bangladesh,89.354,23.342,61,-4.1,-25
Sample727,Bangladesh,89.538,22.831,61,-6.2,-44
Sample728,Bangladesh,89.595,24.174,62,-4.3,-28
Sample729,India,88.589,23.013,64,-3.57,-25.53
Sample730,India,NA,NA,64.63,-4.32,-31.72
Sample731,Bangladesh,88.635,23.814,65,-4.77,-32.5
Sample732,Bangladesh,90.881,23.699,65,-5.5,-39
Sample733,India,88.25,24.42,66,-5.7,-36
Sample734,Bangladesh,90.39,24.41,67,-5.5,-35
Sample735,India,88.58696667,23.02071667,67.056,-3.86217005,-26.33054
Sample736,India,88.1682,24.1826,67.1,-3.1,-24.6
Sample737,Bangladesh,90.37,24.31,70,-4.4,-28
Sample738,India,88.1951,24.1832,70.1,-3.85,-26.6
Sample739,India,88.4528,24.1714,70.7,-5.26,-35.5
Sample740,India,88.35,24.03,71,-4.7,-31
Sample741,India,88.594,22.988,73,-4.5,-29.8
Sample742,Bangladesh,90.017,23.846,73,-3.7,-22.2
Sample743,Bangladesh,90.025,23.867,73,-4.21,-27.3
Sample744,Bangladesh,89.996,23.857,73,-4.89,-30
Sample745,Bangladesh,90.027,23.844,73,-4.16,-24.8
Sample746,Bangladesh,88.927,26.151,73,-3.7,-21
Sample747,Bangladesh,88.758,24.816,73,-4,-25
Sample748,India,88.32836,22.54259,73,-5.5,-36.3
Sample749,India,88.32757,22.5494,73,-5.9,-39.9
Sample750,India,88.33668,22.48821,73,-6.1,-41.3
Sample751,India,88.463008,23.234061,73.33333333,-5.293,-35.581
Sample752,India,88.26,24.09,74,-5.1,-32
Sample753,Bangladesh,88.635,23.814,75,-4.72,-33.7
Sample754,Bangladesh,91.051,23.49,75,-5.6,-40
Sample755,Bangladesh,90.889,23.562,75,-4.8,-32
Sample756,Bangladesh,91.117,23.924,75,-4.4,-29
Sample757,Bangladesh,91.145,23.86,75,-4.9,-33
Sample758,India,88.379338,23.233159,75.33333333,-5.846,-39.42
Sample759,India,88.34,24.32,76,-6.1,-40
Sample760,Bangladesh,90.48327,23.82621,76.2,-5.42,-34.14
Sample761,Bangladesh,90.36106,23.70008,76.2,-4.35,-28.03
Sample762,India,NA,NA,76.83,-6.31,-43.32
Sample763,India,88.36216,22.52572,78,-4.5,-29.6
Sample764,India,88.33,23.69,78,-4.2,-27
Sample765,India,88.571,22.938,79,-4.2,-29.3
Sample766,India,88.32803,22.54483,79,-5.5,-35.8
Sample767,India,88.32677,22.53983,79,-5.6,-36.5
Sample768,India,88.32526,22.53958,79,-5.4,-35.7
Sample769,India,88.327,22.53811,79,-4.7,-30.7
Sample770,India,88.37782,22.56152,79,-4.2,-26.6
Sample771,India,88.36837,22.56004,79,-4.1,-26.5
Sample772,India,88.37451,22.47617,79,-7.4,-52.4
Sample773,Bangladesh,89.8378,23.6014,79,-4.9,-31
Sample774,India,88.1965,24.1857,79.3,-4.01,-27.3
Sample775,Bangladesh,90.693,23.498,80,-3.5,-21
Sample776,Bangladesh,90.588,23.634,80,-4.1,-24
Sample777,India,88.37885,22.60568,81,-5.8,-38.4
Sample778,India,88.33772,22.48081,81,-7.7,-52.9
Sample779,India,88.35529,22.50548,81,-6.8,-47.7
Sample780,India,88.549,22.945,82,-3.1,-21.4
Sample781,India,88.34014,22.4855,82,-6.6,-44.7
Sample782,Bangladesh,90.33568,23.70508,82.296,-6.03,-39.69
Sample783,Bangladesh,89.149,23.89,82.3,-4.6,-27.4
Sample784,India,88.36199,22.4785,84,-3.8,-22.5
Sample785,India,88.35401,22.48685,84,-6.5,-44.2
Sample786,India,88.34791,22.49136,84,-5.7,-38.4
Sample787,India,88.3446,22.51433,84,-4.4,-30.4
Sample788,India,88.34584,22.46339,84,-3.6,-21.4
Sample789,India,88.45,24.03,84,-4.7,-36
Sample790,India,88.0979,24.1928,84.8,-3.59,-26.7
Sample791,India,88.547,22.972,85,-4.2,-27.2
Sample792,Bangladesh,90.003,23.848,85,-5.29,-36.2
Sample793,Bangladesh,90.96,23.459,85,-5,-35
Sample794,Bangladesh,90.703,24.354,85,-1.7,-7
Sample795,India,88.34946,22.49912,85,-4.2,-30.4
Sample796,India,88.34913,22.50126,85,-5.3,-35.4
Sample797,India,88.35243,22.5622,85,-4.6,-31.4
Sample798,India,88.34341,22.53254,85,-5.2,-35.6
Sample799,India,88.34875,22.53059,85,-5.3,-36
Sample800,India,88.35551,22.59821,85,-4.4,-28
Sample801,India,88.39075,22.57422,85,-4.3,-26.2
Sample802,India,88.39007,22.5701,85,-4.3,-27
Sample803,India,88.37095,22.55271,85,-4.1,-26.1
Sample804,India,88.36551,22.5401,85,-5.1,-33.9
Sample805,India,88.34478,22.52331,85,-5.9,-40.7
Sample806,India,88.3978,22.55091,85,-4.4,-27.7
Sample807,India,88.37791,22.56203,85,-4.3,-27.3
Sample808,India,88.37672,22.56409,85,-4,-25.2
Sample809,India,88.35402,22.55384,85,-4.9,-32.2
Sample810,India,88.35251,22.54519,85,-5.1,-35
Sample811,India,88.35178,22.54244,85,-4.2,-29.7
Sample812,India,88.34853,22.54587,85,-5.8,-39.3
Sample813,India,88.36542,22.50889,85,-5.5,-36.1
Sample814,India,88.36011,22.50496,85,-4.2,-28.1
Sample815,India,88.34496,22.51194,85,-4.2,-28.6
Sample816,India,88.34335,22.51367,85,-4.3,-29.8
Sample817,India,88.38379,22.49101,85,-4.7,-29.9
Sample818,India,88.38597,22.49338,85,-4.7,-30
Sample819,India,88.37402,22.49758,85,-5.4,-36.6
Sample820,India,88.37833,22.56249,85,-4,-25.7
Sample821,India,88.37889,22.56139,85,-3.9,-25.1
Sample822,India,88.37895,22.56315,85,-4,-25.6
Sample823,India,88.33719,22.52531,85,-5.7,-38.1
Sample824,India,88.32609,22.51212,85,-4.7,-33.4
Sample825,India,88.32649,22.51333,85,-4.5,-31.1
Sample826,India,88.34028,22.50954,85,-6.5,-44.9
Sample827,India,88.33727,22.51657,85,-6.1,-41.5
Sample828,India,88.3326,22.5182,85,-4.5,-31
Sample829,India,88.33282,22.53952,85,-5.6,-37.4
Sample830,India,88.33452,22.5341,85,-5.3,-37.6
Sample831,India,88.33852,22.52505,85,-5.8,-40.9
Sample832,India,88.33532,22.52434,85,-5.8,-39.9
Sample833,India,88.342,22.47731,85,-4.5,-28.2
Sample834,India,88.34723,22.49727,85,-5.7,-38.4
Sample835,India,88.37338,22.47508,85,-7.1,-49.5
Sample836,Bangladesh,90.34068,23.84846,85.344,-4.54,-27.67
Sample837,India,88.34081,22.47246,86,-3.8,-22.9
Sample838,India,88.36147,22.48353,87,-5.4,-35.7
Sample839,Bangladesh,89.8044,23.5414,87.8,-4.6,-28
Sample840,Bangladesh,89.121,23.902,88,-4.3,-25
Sample841,India,88.35026,22.49922,88,-5.9,-38.8
Sample842,India,88.35099,22.49959,88,-4.5,-32.3
Sample843,India,88.35052,22.50103,88,-5.6,-37.6
Sample844,India,88.35233,22.5001,88,-5.9,-40.6
Sample845,India,88.34902,22.50148,88,-5.4,-36
Sample846,India,88.34854,22.50391,88,-3,-24.1
Sample847,India,88.34727,22.50576,88,-5.7,-39.3
Sample848,India,88.38733,22.60313,90,-3.9,-28.3
Sample849,India,88.37636,22.60519,90,-4.8,-31.5
Sample850,India,88.37675,22.59558,90,-5.3,-34.8
Sample851,India,88.37707,22.59896,90,-6.5,-44.1
Sample852,India,88.3667,22.58312,90,-4.4,-27.9
Sample853,India,88.36926,22.5856,90,-4.2,-26.7
Sample854,India,88.36618,22.58951,90,-4.4,-28.6
Sample855,India,88.36857,22.59758,90,-5.6,-37.3
Sample856,India,88.36842,22.59122,90,-5.8,-39.4
Sample857,India,88.37482,22.58661,90,-4.4,-27.4
Sample858,India,88.39259,22.58123,90,-4.6,-29.3
Sample859,India,88.34543,22.49901,90,-5.8,-39.8
Sample860,India,88.34543,22.49901,90,-5.9,-39.1
Sample861,India,88.37007,22.49032,90,-6.1,-40.6
Sample862,India,88.605,22.959,91,-4.8,-31.4
Sample863,India,88.603,22.959,91,-4.9,-31.6
Sample864,India,88.589,22.95,91,-5.2,-33.2
Sample865,India,88.549,22.944,91,-3.6,-24.8
Sample866,Bangladesh,89.51,23.16,91,-3.5,-22
Sample867,India,88.35242,22.50053,91,-5.7,-37.3
Sample868,India,88.34995,22.49982,91,-6.1,-41.8
Sample869,India,88.34946,22.5011,91,-4.4,-32.6
Sample870,India,88.37455,22.59767,91,-6.8,-46.6
Sample871,India,88.37516,22.59581,91,-5.4,-35.9
Sample872,India,88.36613,22.58736,91,-4.3,-27.1
Sample873,India,88.35803,22.55951,91,-4.6,-29.5
Sample874,India,88.35015,22.5657,91,-5.5,-38
Sample875,India,88.36244,22.57817,91,-4.3,-26.4
Sample876,India,88.36077,22.58118,91,-4.2,-26.9
Sample877,India,88.36858,22.6051,91,-5.3,-35.8
Sample878,India,88.36444,22.60001,91,-4.8,-30.7
Sample879,India,88.36192,22.60144,91,-4.7,-31.4
Sample880,India,88.39806,22.56561,91,-4.4,-26.5
Sample881,India,88.39473,22.56315,91,-4.5,-28.2
Sample882,India,88.37903,22.56614,91,-4,-25.5
Sample883,India,88.36677,22.54376,91,-5.3,-34.9
Sample884,India,88.38738,22.55454,91,-4.3,-27.9
Sample885,India,88.3912,22.55622,91,-4.4,-28.4
Sample886,India,88.38008,22.55303,91,-4.1,-25.5
Sample887,India,88.35112,22.5584,91,-5.2,-35.1
Sample888,India,88.35545,22.55121,91,-4.8,-31.6
Sample889,India,88.35429,22.54745,91,-5.1,-34.8
Sample890,India,88.37296,22.55174,91,-4.2,-26.2
Sample891,India,88.37431,22.55001,91,-4.1,-25.3
Sample892,India,88.38907,22.54092,91,-4.1,-25.9
Sample893,India,88.36974,22.51876,91,-5.7,-38
Sample894,India,88.37103,22.51674,91,-4.9,-31.3
Sample895,India,88.36883,22.50812,91,-5.8,-39.4
Sample896,India,88.37049,22.51018,91,-5.3,-35.5
Sample897,India,88.34506,22.51834,91,-4.7,-31.7
Sample898,India,88.39451,22.46625,91,-5.3,-37.1
Sample899,India,88.37647,22.47206,91,-5.4,-37.5
Sample900,India,88.37066,22.46648,91,-4.6,-30
Sample901,India,88.37895,22.56598,91,-4.1,-25.6
Sample902,India,88.38111,22.56478,91,-4.2,-27.7
Sample903,India,88.36146,22.50215,91,-5.2,-35.4
Sample904,India,88.32945,22.51109,91,-6.4,-45.4
Sample905,India,88.32806,22.51801,91,-4.9,-33.1
Sample906,India,88.31828,22.52671,91,-6.3,-42.1
Sample907,India,88.32591,22.52764,91,-5.8,-39
Sample908,India,88.32587,22.53251,91,-5.9,-39.3
Sample909,India,88.33479,22.51809,91,-4.8,-32
Sample910,India,88.3758,22.49372,91,-4.9,-32.4
Sample911,India,88.36917,22.50847,91,-5.1,-34.5
Sample912,Bangladesh,90.31482,23.75876,91.44,-5.63,-36.81
Sample913,Bangladesh,90.594,23.642,91.5,-5.8,-37
Sample914,Bangladesh,90.69080311,23.73748564,92.30769231,-5.306122094,-35.21539736
Sample915,India,88.39369,22.60872,93,-5.5,-38.1
Sample916,India,88.46,23.79,95,-5.1,-35
Sample917,Bangladesh,90.892,23.685,96,-6.2,-43
Sample918,India,88.46,23.93,96,-5.2,-33
Sample919,India,88.37968,22.46092,97,-5,-33.3
Sample920,Bangladesh,90.37158,23.70901,97.536,-4.23,-28.18
Sample921,India,88.583,22.924,98,-4.7,-30
Sample922,India,88.549,22.944,98,-2.9,-20.9
Sample923,India,88.583,22.924,98,-4.5,-29.3
Sample924,Bangladesh,89.141,23.506,98,-4.7,-29
Sample925,India,88.38153,22.5613,98,-4.3,-28
Sample926,India,NA,NA,99,-6.79,-45.93
Sample927,Bangladesh,90.589,23.629,99.9,-4.2,-25
Sample928,Bangladesh,90.736,24.76,100,-5.1,-33
Sample929,Bangladesh,89.178,23.536,100.3,-4.4,-32
Sample930,India,88.57,22.941,101,-4.7,-30.2
Sample931,India,88.37411,22.51914,101,-5.7,-38.7
Sample932,India,88.39327,22.58378,102,-4.8,-30.9
Sample933,India,88.515348,23.238825,102.6666667,-5.374,-35.267
Sample934,India,88.39299,22.58352,103,-4.8,-30.5
Sample935,India,88.566,22.948,104,-4.6,-29.2
Sample936,India,88.33367,22.48827,104,-7.7,-53.1
Sample937,India,88.32935,22.48846,104,-7.7,-52.9
Sample938,India,88.32441,22.49057,104,-4.7,-29.8
Sample939,India,88.33393,22.50391,104,-5.7,-38.5
Sample940,India,88.33561,22.50522,104,-6.9,-48.4
Sample941,India,88.33325,22.50681,104,-5.9,-40.6
Sample942,India,88.33208,22.50457,104,-5.6,-37.3
Sample943,India,88.33078,22.49996,104,-5.4,-35.9
Sample944,India,88.32176,22.50091,104,-4.2,-29.1
Sample945,India,88.32255,22.49873,104,-4.2,-28.5
Sample946,India,88.31911,22.49291,104,-4.8,-33.1
Sample947,India,88.32051,22.49369,104,-4.8,-32.7
Sample948,India,88.33347,22.49298,104,-5.9,-40
Sample949,India,88.487735,23.209514,104.6666667,-5.161,-34.937
Sample950,India,88.493075,23.222668,104.6666667,-5.129,-35.076
Sample951,India,88.564,22.981,105,-5.1,-33.1
Sample952,India,88.480432,23.266948,105,-4.693,-32.1
Sample953,Bangladesh,90.764,23.495,105,-3.3,-18
Sample954,Bangladesh,90.952,23.59,105,-3.6,-28
Sample955,Bangladesh,90.004,23.852,106,-4.91,-32.7
Sample956,Bangladesh,90.38402,23.71508,106.68,-5.43,-35.61
Sample957,India,88.581,22.883,107,-4.47,-29.72
Sample958,Bangladesh,88.96,25.5,107,-5.3,-34
Sample959,Bangladesh,88.897,23.692,107,-5,-35
Sample960,India,88.34044,22.49986,107,-5.8,-39.8
Sample961,India,88.34106,22.4995,107,-5.7,-39.8
Sample962,India,88.34072,22.49903,107,-3.4,-20
Sample963,India,88.34031,22.49174,107,-5.3,-36.6
Sample964,India,88.33382,22.49458,107,-5.3,-36.1
Sample965,India,88.33981,22.49074,107,-5.2,-35
Sample966,India,88.33072,22.49151,107,-7.7,-52.6
Sample967,India,88.32681,22.49431,107,-5.5,-36.7
Sample968,India,88.33854,22.48988,107,-7.5,-51.5
Sample969,India,88.3369,22.48875,107,-5.8,-39
Sample970,India,88.33016,22.48953,107,-6,-40
Sample971,India,88.32366,22.48835,107,-5.2,-33.1
Sample972,India,88.33514,22.50118,107,-5.6,-37.3
Sample973,India,88.33247,22.50232,107,-5.8,-38.7
Sample974,India,88.32349,22.48357,107,-6.3,-43.3
Sample975,India,88.33143,22.48613,107,-8,-54.7
Sample976,India,88.33231,22.49364,107,-5.9,-39.6
Sample977,India,88.33323,22.49963,107,-3.8,-26
Sample978,India,88.3497,22.45659,107,-3.6,-21.5
Sample979,India,88.55,23.92,108,-5.1,-34
Sample980,India,88.597,22.961,110,-5.3,-33.9
Sample981,India,88.33941,22.49997,110,-6.3,-44.2
Sample982,India,88.33631,22.49854,110,-6.3,-44.3
Sample983,India,88.33064,22.49439,110,-5.3,-35.4
Sample984,India,88.33772,22.49057,110,-7.7,-52.5
Sample985,India,88.33607,22.49171,110,-5.5,-36.2
Sample986,India,88.33656,22.48845,110,-6.1,-41.4
Sample987,India,88.33517,22.48782,110,-7.5,-51.4
Sample988,India,88.32409,22.49215,110,-4.9,-31.6
Sample989,India,88.33281,22.50599,110,-5.3,-34.9
Sample990,India,88.3358,22.50384,110,-6.9,-48.8
Sample991,India,88.31383,22.48231,110,-3.8,-22.5
Sample992,India,88.31458,22.48415,110,-3.8,-22.9
Sample993,India,88.54,23.86,110,-5.1,-34
Sample994,India,88.40845,23.235434,111.3333333,-5.816,-39.025
Sample995,India,88.523257,23.21872,112,-5.428,-36.714
Sample996,India,88.492237,23.228486,112.3333333,-4.594,-30.853
Sample997,India,88.567,22.945,113,-4.3,-27.8
Sample998,India,88.684683,23.232187,113.3333333,-5.035,-32.948
Sample999,India,88.568,23.011,115,-4,-26.6
Sample1000,India,88.5853,23.02245,115.824,-2.92047585,-21.17128705
Sample1001,India,88.491075,22.741225,116,-4.34,-28.8
Sample1002,India,88.533,22.969,116,-3.5,-23.4
Sample1003,India,88.596,22.958,116,-4.9,-33.8
Sample1004,India,88.554,22.946,116,-4.5,-28.1
Sample1005,India,88.517,22.937,116,-5.5,-35.9
Sample1006,Bangladesh,90.406,23.768,116,-4.79,-30.7
Sample1007,India,88.727525,23.219424,116.3333333,-4.676,-35.473
Sample1008,India,88.531119,23.246236,117.6666667,-3.999,-27.761
Sample1009,India,88.584,22.925,118,-4.6,-30.1
Sample1010,India,88.471836,23.188429,118.3333333,-5.413,-36.194
Sample1011,India,88.534082,23.200744,118.6666667,-5.291,-35.686
Sample1012,India,88.548,22.927,119,-4.3,-27.8
Sample1013,Bangladesh,90.375,23.753,120,-4.62,-31.5
Sample1014,Bangladesh,90.409,23.743,120,-5.13,-34.2
Sample1015,India,88.34365,22.49677,120,-5.8,-40.3
Sample1016,India,88.34,22.52,120,-5.6,-36
Sample1017,India,88.51,22.58,120,-4.4,-30
Sample1018,Bangladesh,89.08115,22.872888,120.3333333,-4.998,-34.187
Sample1019,India,88.58376667,23.02205,121.92,-3.79829145,-28.26795391
Sample1020,India,88.58241667,23.0225,121.92,-3.72441894,-22.25526068
Sample1021,Bangladesh,90.37118,23.89319,121.92,-4.97,-32.91
Sample1022,India,88.605,22.959,122,-4.8,-31.3
Sample1023,India,88.604,22.959,122,-4.4,-30
Sample1024,India,88.594,22.952,122,-4.2,-26.1
Sample1025,India,88.595,22.989,122,-4.2,-30.5
Sample1026,India,88.583,23.02,122,-3.9,-27.2
Sample1027,India,88.604,22.958,122,-3.8,-24.3
Sample1028,India,88.546,22.947,122,-4.2,-26.6
Sample1029,India,88.566,22.895,122,-4.6,-30.6
Sample1030,India,88.549,22.954,122,-4,-26.6
Sample1031,India,88.609,22.953,122,-4.9,-32.3
Sample1032,India,88.564,22.951,122,-4.9,-31.7
Sample1033,India,88.567,22.911,122,-4.7,-32.1
Sample1034,India,88.32053,22.53435,122,-4.6,-32.6
Sample1035,India,88.35987,22.54937,122,-4.5,-29.8
Sample1036,India,88.35361,22.55948,122,-5.9,-43.1
Sample1037,India,88.37909,22.52905,122,-4.4,-28.2
Sample1038,India,88.3747,22.53678,122,-4.5,-29.5
Sample1039,India,88.38149,22.53695,122,-4.5,-28.7
Sample1040,India,88.38226,22.56406,122,-4.3,-27.1
Sample1041,India,88.3838,22.56284,122,-4.3,-26.3
Sample1042,India,88.38398,22.56418,122,-4.4,-26.8
Sample1043,India,88.37598,22.48595,122,-6.5,-44.9
Sample1044,India,88.40324,22.4736,122,-4.8,-30.4
Sample1045,India,88.41251,22.48627,122,-4.7,-30.5
Sample1046,India,88.4015,22.49624,122,-4.7,-29.7
Sample1047,India,88.39861,22.50599,122,-4.8,-32.2
Sample1048,India,88.36941,22.48998,122,-4.4,-27.4
Sample1049,India,88.36268,22.49971,122,-5.7,-37.7
Sample1050,India,88.35051,22.50657,122,-5,-34.1
Sample1051,India,88.3425,22.50518,122,-7.6,-53.2
Sample1052,India,88.3425,22.50518,122,-6.6,-45.9
Sample1053,India,88.3425,22.50518,122,-6.2,-44.1
Sample1054,India,88.3425,22.50518,122,-6.5,-43.7
Sample1055,India,88.35535,22.51882,122,-6.7,-45.1
Sample1056,India,88.34409,22.51021,122,-5,-33.3
Sample1057,India,88.38034,22.51028,122,-5.2,-33.5
Sample1058,India,88.37894,22.51236,122,-4.6,-28.2
Sample1059,India,88.36816,22.51069,122,-4.7,-30.2
Sample1060,India,88.36794,22.55017,122,-4.4,-29.4
Sample1061,India,88.33853,22.52293,122,-5.1,-33.3
Sample1062,India,88.37946,22.49814,122,-4.7,-29.6
Sample1063,India,88.36011,22.5066,122,-5.3,-34.2
Sample1064,India,88.36276,22.52686,122,-6.2,-41
Sample1065,India,88.34774,22.48179,122,-6.4,-44
Sample1066,India,88.3642,22.48289,122,-4.5,-27.4
Sample1067,India,88.34461,22.48814,122,-5.4,-35.6
Sample1068,India,88.34283,22.47563,122,-4.4,-27
Sample1069,India,88.3652,22.54742,122,-5.4,-36.3
Sample1070,India,88.34821,22.48989,122,-5.3,-36.1
Sample1071,India,88.34616,22.49956,122,-3.7,-22.4
Sample1072,India,88.35122,22.47774,122,-4.9,-32.2
Sample1073,India,88.34504,22.46325,122,-4.9,-32.4
Sample1074,India,88.37954,22.46085,122,-4.7,-33.2
Sample1075,India,88.37375,22.47606,122,-4.8,-31.5
Sample1076,India,88.36658,22.54699,122,-6.2,-43.4
Sample1077,India,88.35337,22.46586,122,-6.6,-45.2
Sample1078,India,88.36932,22.47344,122,-5,-33.1
Sample1079,India,88.37535,22.46766,122,-5.9,-40.4
Sample1080,India,88.36595,22.47707,122,-4.7,-30.6
Sample1081,India,88.36243,22.55443,122,-4.7,-31.3
Sample1082,India,88.36205,22.55334,122,-4.6,-29.5
Sample1083,India,88.34283,22.49614,123,-5.9,-40.1
Sample1084,India,88.464876,23.264702,124.3333333,-4.973,-33.066
Sample1085,India,88.48858,22.74266667,125,-4.58,-29.8
Sample1086,India,88.577,22.946,125,-4.9,-32
Sample1087,Bangladesh,90.368,23.739,125,-4.91,-33.7
Sample1088,India,88.636339,23.144323,127,-4.852,-31.479
Sample1089,Bangladesh,89.652,23.741,127.3,-4.9,-31
Sample1090,India,88.579,22.996,128,-4.5,-30.1
