Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample286,Bangladesh,89.8067,23.6964,22.3,-5.1,-35
Sample287,India,88.57,22.717,22.5,-2.96,-17.78
Sample288,India,88.58636667,23.02038333,22.5552,-5.047329364,-34.19933728
Sample289,India,88.11136667,88.11136667,22.86,-4.32,-29.7
Sample290,India,NA,NA,22.9,-1.48,-9.27
Sample291,Bangladesh,89.7406,23.5697,22.9,-3.9,-24
Sample292,Bangladesh,89.7847,23.6761,22.9,-7.5,-52
Sample293,Bangladesh,88.1127,24.6562,22.9,-5.7,-45
Sample294,India,88.605,22.959,23,-4.7,-32.6
Sample295,Bangladesh,89.425,25.472,23,-3.9,-25
Sample296,Bangladesh,89.356,25.672,23,-4.1,-25
Sample297,Bangladesh,89.242,25.631,23,-3.2,-18
Sample298,Bangladesh,88.657,25.865,23,-3.7,-22
Sample299,Bangladesh,90.238,22.947,23,-3,-17
Sample300,India,88.58585,23.01968333,23.1648,-3.99571696,-26.02738688
Sample301,India,88.58585,23.01968333,23.1648,-4.41198684,-27.22821985
Sample302,India,88.2461,24.1978,23.2,-3.44,-25.5
Sample303,Bangladesh,90.969,23.59,24,-3.7,-26
Sample304,Bangladesh,90.957,23.282,24,-3.2,-17
Sample305,Bangladesh,90.925,23.339,24,-3.2,-20
Sample306,Bangladesh,88.906,25.665,24,-4.5,-30
Sample307,India,NA,NA,24.3,-3.73,-21.61
Sample308,India,NA,NA,24.3,-4.04,-27.02
Sample309,India,88.5859,23.02175,24.384,-3.69144934,-24.09174213
Sample310,India,88.58785,23.01983333,24.384,-4.154889728,-26.80244783
Sample311,India,88.58618333,23.02108333,24.384,-4.285359,-30.44802812
Sample312,India,88.587431,23.019826,24.384,-4.42473939,-31.35525455
Sample313,India,88.58789,23.01926,24.384,-4.376335267,-27.0610176
Sample314,Bangladesh,90.29723,23.53009,24.384,-3.557858606,-23.10613057
Sample315,India,NA,NA,24.4,-3.38,-19.38
Sample316,Bangladesh,89.8553,23.6147,24.4,-4.4,-30
Sample317,Bangladesh,89.7972,23.6869,24.4,-4.6,-28
Sample318,Bangladesh,88.635,23.814,25,-3.85,-28.5
Sample319,Bangladesh,90.9226,23.3405,25,-3.74,-22.6
Sample320,India,NA,NA,25,-7.01,-46.96
Sample321,India,88.58678333,23.02075,25.2984,-3.65253568,-26.43644864
Sample322,India,88.58678333,23.02075,25.2984,-3.52841016,-19.84004195
Sample323,Bangladesh,89.8103,23.5094,25.9,-3.3,-24
Sample324,Bangladesh,88.2897,24.6053,25.9,-4.5,-30
Sample325,Bangladesh,88.3489,24.6544,25.9,-3.1,-24
Sample326,India,88.58821667,23.02126667,25.908,-3.32431281,-24.08160176
Sample327,India,88.22421667,88.22421667,25.91,-3.4,-24
Sample328,India,88.49379,22.74571,26,-4.3,-28.6
Sample329,Bangladesh,88.948,24.641,26,-3.4,-21
Sample330,Bangladesh,90.903,24.152,26,-2.5,-14
Sample331,Bangladesh,89.062,24.145,26,-3.7,-25
Sample332,Bangladesh,88.803,24.992,26,-5,-35
Sample333,Bangladesh,90.119,24.447,26,-3.9,-24
Sample334,Bangladesh,89.849,24.739,26,-4.2,-31
Sample335,Bangladesh,90.059,22.489,26,-5.4,-38
Sample336,Bangladesh,88.2628,24.5833,26,-5.3,-39
Sample337,Bangladesh,90.7823,22.9092,26,-3.9,-26
Sample338,India,88.4521,24.1599,26.2,-5.03,-32.1
Sample339,India,88.4621,24.1715,26.2,-4.93,-31.4
Sample340,India,88.1838,24.1816,26.2,-3.47,-26.3
Sample341,India,88.1848,24.1811,26.2,-3.41,-24.8
Sample342,Bangladesh,89.79,23.5331,26.2,-3,-16
Sample343,Bangladesh,90.579,23.622,26.8,-4,-24
Sample344,Bangladesh,89.8878,23.6233,26.8,-5.6,-41
Sample345,Bangladesh,89.8556,23.6406,26.8,-6.1,-40
Sample346,Bangladesh,89.8169,23.6517,26.8,-4.7,-31
Sample347,Bangladesh,88.655,23.757,27,-4.5,-32.4
Sample348,Bangladesh,89.084,24.282,27,-4.1,-26
Sample349,Bangladesh,90.266,24.764,27,-3.2,-19
Sample350,Bangladesh,90.202,24.352,27,-4.9,-32
Sample351,Bangladesh,88.2715,24.569,27.2,-5.1,-34
